word,meaning
Aromanian,"ארומנית, שפה רומאנית שדוברה בעיקר בחלקים שונים במזרח אירופה ובעיקר ביוון (דוברה גם בבולגריה, רומניה, אלבניה ומקדוניה)"
"Arthur Miller","ארתור מילר (1915-2005), מחזאי יהודי-אמריקאי, זוכה פרס הפוליצר ופרס הטוני (בין מחזותיו &quot;מותו של סוכן&quot;)"
"Arthur Rock","ארתור רוק (יליד 1926), קפיטליסט ויזם אמריקאי ממייסדי חברת המחשבים העולמית Intel"
Arthurian,"של המלך ארתור (ראש אבירי השולחן העגול)"
"Arvith Prayer","תפילת ערבית"
"Ash Wednesday","יום הצום הראשון {מתוך ארבעים שצמים הנוצרים לפני הפסחא}"
Ashkelon,"אשקלון, עיר בישראל בדרום השפלה על שפת הים התיכון"
"Aspirin®","אספירין,שם מותג של חומצה אצטילסליצילית ששווקה חברת באייר ב-1899"
"Association for the Rehabilitation of Disabled Children","אלי&quot;ן, אגודה לשיקום ילדים נכים"
"Asuka period","תקופת אסוקה,תקופה בהיסטוריה של יפן משנת 538 עד 710 לספירה"
"At Ease!","עמוד נוח!"
Athapaskan,"את'פסקן, משפחת שפות אינדיאניות"
Atjehnese,"שפה אוסטרונזית המדוברת בפי האסינים"
"Atlantic Standard Time","הזמן התקני האטלנטי, הזמן התקני הקנדי שהוא ארבע שעות מאחור שעון גריניץ'"
Attic,"של אתונה או תושבי אתונה (יוון); פשוט ואלגנטי"
Augean,"(במיתולוגיה היוונית) מלוכלך, מטונף (מהסיפור על המלך אוגיאס שאת אורוותיו הוטל על הרקולס לנקות והוא עשה זאת על ידי הטיית נהר לתוכן); דומה בלכלוך לאורוות של אוגיאס"
Aurelius,"אורליוס, מרקוס אורליוס (121-180), קיסר רומי המכונה &quot;הקיסר הפילוסוף&quot; (בגלל ספרו &quot;הרהורים&quot;)"
Avner,"אבנר, שם עברי"
"Avraham Shlonsky","אברהם שלונסקי (1900– 1973), משורר עורך ומתרגם עברי, אחד מראשוני המתיישבים הישראלים"
"Ayalon Highway","נתיבי איילון (שם מערכת כבישים באזור המרכז)"
Azrieli,"עזריאלי, שם משפחה עברי"
B,"סי, צליל במוסיקה"
BASIC,"[bas·ic || 'beɪsɪk]<br>בייסיק, שפת בייסיק, שפת תכנות בסיסית"
BG,"&quot;חיוך גדול&quot; (קיצור באינטרנט)"
BL,"שטר מטען"
BNP,"המפלגה הלאומית הבריטית"
BSA,"&quot;הצופים&quot; של אמריקה ((תנועת-נוער לבנים הנפוצה ברחבי ארה&quot;ב)"
BTW,"דרך אגב (מחשבים-סלנג באינטרנט)"
BUP,"בי. יו.פי., בריטיש יונייטד פרס, (עיתונות מאוחדת בריטית), סוכנות ידיעות עיתונאית בריטית"
"Ba'ath Party","מפלגת הבעת', מפלגה שהוקמה בשנות ה-1950 הדוגלת באיחוד כלל ערבי ותומכת בסוציאליזם (מפלגה פעילה בסוריה ובעירק)"
Bahamian,"בהאמי, יליד או תושב איי בהאמה (קבוצת איים באוקיינוס האטלנטי מדרום מזרח לארה&quot;ב)"
Baiji,"באיג'י, עיר בעיראק"
Bakr,"באקר, שם ערבי"
"Bandar Abbas","בנדר עבאס (עיר נמל בדרום איראן)"
Bangladesh,"בנגלדש, הרפובליקה העממית של בנגלדש, מדינה בדרום אסיה"
Barbary,"ברבריה, אזור בצפון אפריקה המשתרע ממערב מצריים עד לאוקיינוס האטלנטי"
Barbera,"ברברה, שם פרטי לנקבה; שם משפחה; ג'וזף ברברה (יליד 1911) , אנימטור ומפיק אמריקאי שהתחיל את הפקות האנה-ברברה ביחד עם וויליאם האנה ב-1957"
Barkan,"ברקן, שם משפחה ישראלי"
"Barlow's disease","(רפואה) מחלת ברלו, צפדינת ילדים, מחלת ילדים הנגרמת עקב חסר ויטמין C (סימניה: חולשה, אנמיה ודימומים תת-עוריים)"
"Baron A.J. Gros","אנטואן ז'אן גרוס (1835-1771), צייר צרפתי"
Barrie,"ברי, שם משפחה"
Barsac,"ברסק, אזור כרמים בצרפת; יין לבן צרפתי"
Baruch,"ברוך, שם פרטי עברי לזכר; שם משפחה"
Bashevis-Zinger,"בשביס-זינגר (יצחק, סופר יידיש, חתן פרס נובל לספרות)"
"Bath Mitzvah party","מסיבת בת-מצווה"
"Battle of San Jacinto","הקרב בסאן חסינטו, הקרב האחרון שהתחולל ב-22 לאפריל 1836 בו טקסס זכתה לעצמאותה ממקסיקו"
"Bayer AG","חברת תרופות וכימיקלים שנוסדה בגרמניה בשנת 1863"
Beatles,"הביטלס, &quot;החיפושיות&quot;' להקה בריטית ידועה שפעלה בשנות ה-60 וה-70"
Beijing,"בייג'ין, פקין (בירת סין העממית)"
"Beit Arye","בית אריה, התנחלות בשומרון במרכז הארץ"
"Beit Shemesh","בית-שמש (עיירה בשפלת יהודה בדרך מתל-אביב לירושלים)"
"Ben Haroush","בן הרוש"
"Ben Lulu","בן לולו"
"Benjamin Zeev Herzl","בנימין זאב הרצל (1860-1904), מנהיג ועיתונאי הונגרי, מייסד הציונות המדינית, חוזה מדינת היהודים"
Benzedrine,"בנזדרין, שם מסחרי לאמפטמין המיוצר באופן מסחרי (בפרמקולוגיה)"
Beowulf,"ביאוולף, שיר אפי מן המאה השמינית לספירה (הטקסט האנגלי הקדום ביותר); מחשב על המורכב ממספר מחשבים אישיים המחוברים ע&quot;י רשת מקומית ומיועדים לעיבוד מקבילי מהיר (מחשבים)"
"Bernardo Bertolucci","ברנרדו ברטולוצ'י (יליד 1940), במאי קולנוע ותסריטאי איטלקי"
"Bertolt Brecht","ברטולט ברכט (1898-1956), מחזאי גרמני, מייסד להקת התיאטרון הברלינאית (האנסמבל הברלינאי)"
"Beyond Visual Range","מעבר לטווח הראייה, BVR"
Bhutanese,"בהוטני, של בהוטן או המתייחס לבהוטן (נסיכות באזור ההימליה) או תושביה"
"Bill Clinton","ביל קלינטון, ויליאם ג'פרסון &quot;ביל&quot; קלינטון (נולד ב-1946), פוליטיקאי אמריקאי, נשיאה ה-42 של ארצות-הברית (1993-2001)"
"Binyanei HaUmma","בנייני האומה, מרכז הקונגרסים הבינלאומי של ירושלים, אולם כנסים גדול בירושלים"
"Biphase Shift Keying","(תקשורת נתונים) שיטת אפנון דיגיטלית להעברת נתונים ברשת קו-אקסיאלית, BPSK"
Birchism,"בירצ'יזם' עקרונות אגודת ג'ון בירץ'-ארגון אנטי קומוניסטי בארה&quot;ב"
Bizet,"ביזה, שם משפחה; ג'ורג' ביזה, אלכסנדר סזרלאופולד ביזה (1838-1875), מלחין צרפתי הידוע בשל האופרה המפורסמת שהלחין &quot;כרמן&quot;"
Blaine,"בליין, שם פרטי לזכר; שם פרטי לנקבה; שם משפחה; שמן של מספר ערים בארה&quot;ב; ג'יימס גילספי בליין (1830-1893), פוליטיקאי אמריקאי ומזכיר המדינה האמריקאי ב-1881 ובשנים 1889-1892"
Blanco,"בלאנקו, עיר בטקסס (ארה&quot;ב); חומר לבן המשמש להלבנת חגורות וציוד צבאי (מושג בריטי)"
"Bloomingdale's","בלומינגדייל'ס, רשת חנויות כל בו יוקרתית בארה&quot;ב"
Bogomil,"חבר בכת דואליסטית שהצליחה בעיקר בבולגריה בתקופת ימי הביניים ושדחתה חלק ניכר מהברית הישנה"
"Bon appetit!","בתיאבון!"
Bonn,"בון, עיר במערב גרמניה; בירתה לשעבר של מערב גרמניה (בין השנים 1949-1999)"
Bosch,"בוש, שם משפחה; הירונימוס בוש (1450-1516), צייר הולנדי, בין יצירותיו: &quot;גן התענוגות&quot;"
Bosnian,"בוסני, מ- או השייך לבוסניה"
Bowdler,"באולדר, שם משפחה; תומאס באודלר (1754-1825), עורך ספרותי אנגלי שצנזר והוציא לאור את יצירותיו של שייקספיר לקריאה משפחתית"
"Brady Act","חוק בריידי, חוק בארה&quot;ב המחייב המתנה של פרק זמן מסוים ובדיקת רקע של אדם המבקש לרכוש נשק (נכנס לתוקף ב-1994, בוטל חלקית ע&quot;י ביהמ&quot;ש העליון ב-1997)"
"Brahe Tycho","ברהה טיכו (1546-1601), אסטרונום דני"
Brazilian,"ברזילאי, יליד או תושב ברזיל"
Brazzaville,"ברזוויל, עיר הבירה של הרפובליקה של קונגו"
Brigadoon,"&quot;בריגדון&quot;, מחזמר ברדווי שנכתב על ידי אלן ג'יי לרנר ו-פרדריק לווה ב-1947 אודות כפר סקוטי קסום; מקום שקט ויוצא דופן שנראה כאילו אינו מחובר למציאות היומיומית"
"Brigid of Ireland","בריגיד מאירלנד, ברייד, ברייד הקדושה (451-523), אישה קדושה ונזירה ראשית אירית"
Brisbane,"בריסביין, עיר באוסטרליה"
"British Commonwealth of Nations","חבר העמים הבריטי"
"Broadcasting Authority","רשות השידור (הגוף האחראי על שידורי הרדיו והטלביזיה)"
Brobdingnag,"ברובדינגאנג, ארץ הענקים ב&quot;מסעי גוליבר&quot; של ג'ונתן סוויפט שבה כל דבר היה בממדי ענק"
Bruce,"ברוס, שם פרטי לזכר"
Bucharest,"בוקרשט, עיר הבירה של רומניה"
"Bulgarian citizen","אזרח בולגרי"
Bunyan,"בוניין, שם משפחה"
Burgundian,"של בורגונדיה (בצרפת)"
Burkinese,"בורקיני, של או המתייחס לבורקינה פאסו (מדינה במערב אפריקה)"
Burma,"בורמה, שמה לשעבר של מיאנמר (איחוד בורמה), מדינה בדרום-מזרח אסיה"
Burnaby,"עיר בקולומביה הבריטית (קנדה); שם משפחה"
"Burrill Bernard Crohn","בריל ברנרד קרוהן, (1884-1983), גסטרואנטרולוג יהודי אמריקאי שהתמחה במחלות מעיים (מחלת קרוה"
CAD,"תב&quot;ם, תכנון בעזרת מחשב"
"CD Recordable","תקליטור ניתן לכתיבה"
CEO,"מנכ&quot;ל, המנהל הראשי של חברה או של ארגון גדול"
CFO,"מנהל כספים ראשי (אחראי על כל הנושאים הפיננסיים בחברה או בארגון גדול)"
"COM extension","סיומת COM, הסיומת המסמנת קובץ בר ביצוע המוגבל בגודלו"
Cabot,"קבוט, שם משפחה"
Cadmean,"של קדמוס"
"Caesarean section","ניתוח קיסרי, לידת-חתך"
"Caffe Americano","אמריקנו, קפה אספרסו מהול במים חמים"
Calcutta,"כלכותה, עיר נמל ובירת מערב בנגל שבמזרח הודו"
California,"קליפורניה, מדינה בדרום מערב ארצות הברית"
Californian,"קליפורני, יליד או תושב קליפורניה"
Camillo,"קמילו, שם פרטי לזכר"
"Canadian Rockies","החלק הקנדי של רכס הרי הרוקי"
Canaries,"האיים הקנריים, קבוצת איים באוקיינוס האטלנטיבקרבת חופה הצפון-מערבי של אפריקה"
"Capetian dynasty","שושלת קאפטית, שושלת פרנקית שנוסדה על ידי יו קאפט"
"Captain Cook","קפטן קוק (שודד-ים מרושע מהאגדה פיטר-פן)"
Cardigans,"&quot;קרדיגנס&quot;, להקת רוק שבדית מפורסמת"
Cardinals,"&quot;קרדינלס&quot;, קבוצת בייסבול מובילה של הליגה הלאומית (מסנט לואיס, ארה&quot;ב); שמן של קבוצות הספורט באוניברסיטה של לואיוויל (בקנטקי, ארה&quot;ב)"
"Carl Jung","קרל יונג, קרל גוסטב יונג (1875-1961), פסיכיאטר ופסיכולוג שוויצרי שהיה תלמידו של זיגמונד פרויד ואשר מאוחר יותר פיתח תיאוריות פסיכולוגיות משלו"
Carolyn,"קרולין, שם פרטי לנקבה"
Carthage,"קרתגו, קרת חדשת, עיר עתיקה בחופה הצפוני של אפריקה (נוסדה ע&quot;י הפיניקים ונהרסה ע&quot;י הרומאים); שמן של מספר ערים במספר מדינות בארה&quot;ב"
"Cary Grant","קרי גרנט (1904-1986, שמו המקורי: ארצ'יבלד אלכסנדר ליץ'), שחקן קולנוע אמריקאי יליד אנגליה שהופיע בסרטים וביניהם &quot;צפון ליד צפון-מערב&quot; ו&quot;סיפור פילדלפיה&quot;"
"Casablanca Conference","ועידת קזבלנקה, ועידה בה השתתפו וינסטון צ'רצ'יל ופרנקלין רוזוולט ב-1943; ועידה שדנה בפרויקטים כלכליים ופיתוח המזרח התיכון (סוף 1944)"
"Cascade Style Sheets","גליון סגנונות מדורג (במסמכי html, מכיל מספר רמות של סגנונות הניתנים לשינוי ע&quot;י יוצר האתר ומאפשרים גמישות בעיצובו), CSS"
Castellani,"קסטלאני, שם משפחה; סר אלדו קסטלאני (1877-1971), רופא ובקטריולוג איטלקי"
"Cato the Younger","קאטו הצעיר, מרקוס פורקיוס קאטו אוטיקנסיס (95 לפנה&quot;ס - 46 לפנה&quot;ס), מדינאי מתקופת הרפובליקה הרומאית המאוחרת, נינו של קאטו הזקן"
Caudata,"סדרת חסרי הזנב, סדרת דו-חיים בעלי זנב הכוללת סלמנדרות (ביולוגיה)"
Cayenne,"קאיין, עיר הבירה של גיאנה הצרפתית"
Cdre,"קומודור,קצין בכיר בחיל הים; קפטן של קו ספינות מסחר (בשימוש חיל הים הבריטי)"
"Cecil B DeMille","ססיל בלאונט דה מיל (1881-1959), במאי ומפיק אמריקאי זוכה פרס אוסקר (השתתף ביצירת הסרט הראשון באורך מלא) במאי הסרט &quot;עשרת הדברות&quot; (1956)"
Celeron,"סלרון, מעבד חדש מתוצרת אינטל (יותר איטי ממעבדי פנטיום ומיועד למחשבים אישיים בטווח מחירים נמוך)"
"Celta Vigo","סלטה ויגו (קבוצת כדורגל ספרדית)"
"Central Carmel","מרכז הכרמל (שם שכונה על הכרמל בחיפה)"
ChB,"(לטינית) בוגר תואר ראשון בכירורגיה"
"Chagas' disease","מחלת שגס, טריפנוסומיאזיס, סוג של מחלת שינה האופיינית לאזורים הטרופיים של מרכז ודרום אמריקה (נגרמת ע&quot;י חיידק טפילי המועבר באמצעות נשיכות של חרקים או חיות ועלולה להיות קטלנית)"
"Champs Elysees","שאנז אליזה, &quot;שדרת שדות האליזה&quot;, שדרה מהודרת בפריז"
"Charles Chaplin","צ'רלס צ'פלין, צ'רלי צ'פלין, סר צ'רלס ספנסר &quot;צ'רלי&quot; צ'פלין (1889-1977), פנטומימאי ושחקן קולנוע אמריקאי יליד אנגליה"
Charleston,"צ'רלסטון, שם משפחה; ריקוד עליז משנות ה- 1920; עיר הבירה של מדינת מערב וירג'יניה (ארה&quot;ב); נמל במדינת דרום קרוליינה (ארה&quot;ב); עיר במדינת אילינוי (ארה&quot;ב); שמן של מספר ספינות של צי ארצות הברית; עיר בניו-זילנד"
Charley,"צ'רלי, שם משפחה; שם פרטי לזכר (קיצור לשם צ'רלס); מילת קוד לאות &quot;C&quot; באנגלית; (סלנג) הרואין"
Charterhouse,"צ'רטרהאוס, מנזר קרתוזיאני (בלונדון, אנגליה) בהמשך הפך לבית חולים לזקנים ולאחר מכן לבית ספר לנערים"
Chevron,"שברון, חברת נפט אמריקאית (מרכזה בסן פרנסיסקו, ארה&quot;ב)"
Chicagoan,"של שיקגו (העיר בארה&quot;ב) או תושביה"
"Chief of Staff","רמטכ&quot;ל, ראש מטה כללי"
"Chinese citizen","אזרח סין"
Christiana,"כריסטיאנה, שם פרטי לנקבה; שמה לשעבר של אוסלו (נורבגיה) משנת 1624 עד 1877; שמם של מספר מקומות בארה&quot;ב; עיירה חקלאית בדרום-אפריקה"
Chukchee,"צ'וקצ'י, בן עם מחצי האי הצ'וקצ'י בצפון-מזרח סיביר (גם Chukchi)"
Chuvash,"כוואש, שפה תורכית המדוברת בפי העם מעורב המתגורר במערב רוסיה"
Chuvash,"כוואש, בן לעם מעורב שמוצאו בהרי האוראל והרי אלטי המתגורר במערב רוסיה"
"Claude Gellée de Lorraine","קלוד לורן (1682-1600), צייר צרפתי מתקופת הבארוק"
"Clerical Union","הסתדרות הפקידים (גוף-על המאחד את דרג הפקידים שהם עובדי מדינה)"
"Clipperton Island","אי קליפרטון, אי טבעתי לא מאוכלס בצפון האוקיינוס השקט הנמצא בשליטת צרפת"
Clotilda,"קלותילדה, שם פרטי לנקבה"
Clydesdale,"קליידסדייל, זן של סוסי עבודה סקוטיים חזקים במיוחד"
Coalport,"קולפורט, עיירה בפנסילבניה (ארה&quot;ב); עיירה באנגליה"
"Cold War","מלחמה קרה"
Colombo,"קולומבו, בירת סרי לנקה; שם משפחה"
Colorado,"קולורדו, מדינה במערב ארצות-הברית"
"Colorado State University","אוניברסיטת המדינה של קולורדו, אוניברסיטה ציבורית גדולה השוכנת בפורט קולינס במדינת קולורדו (ארה&quot;ב)"
"Comoro Islands","איי קומורו (קבוצת איים ממזרח לאפריקה)"
"Compressed Volume File","קובץ כרך דחוס, קובץ לקריאה בלבד המכיל את כל האינפורמציה של כונן קשיח בצורה דחוסה, CVF"
Connecticut,"קונטיקט, מדינה בארה&quot;ב"
"Constantinus Magnus","קונסטנטין הגדול (קיסר רומאי)"
Copernicus,"קופרניקוס, שם משפחה; ניקולאוס קופרניקוס (1473-1543), אסטרונום פולני, מפתח שפיתח את ההמודל ההליוצנטר או שיטת קופרניקוס (שטוענת כי השמש במרכז כוכבי-הלכת); מכתש בולט וברור על הירח"
"Corporate Policy and Procedure Manual","תקנון החברה (מסמך המפרט הוראות ונהלים בנוגע לפעילות החברה, התקנון)"
Corvallis,"קורבליס, עיר באורגון (ארה&quot;ב); עיירה במונטנה (ארה&quot;ב)"
Cotswold,"גזע של כבשים אנגליות גדולות עם צמר ארוך שמקורו באזור קוטסוולד"
"Council for Higher Education","המועצה להשכלה גבוהה (מוסד ממלכתי לענייני השכלה גבוהה במדינת ישראל)"
"Council of Economic Advisers","&quot;Council of Economic Advisers (CEA)&quot;3 CEA, סוכנות בכירה המספקת ייעוץ כלכלי לנשיא"
"Counter Weight","משקל נגד, משקל המוסף לגוף על מנת להפחית חוסר שווי משקל מחושב במקום הרצוי"
Croat,"קרואטית, השפה המדוברת בקרואטיה, ניב של שפה סרבו-קרואטית הנמצא בשימוש בקרואטיה"
"Ctrl Break keys","מקשי Ctrl Break, מקשים המשמשים לעצירת ביצועה של תכנית ב-DOS"
Cusack,"קיוזק, שם משפחה; ג'ון קיוזק (נולד ב-1966), שחקן קולנוע אמריקאי שכיכב בסרט &quot;מפגש בגרוס פויינט&quot;"
